Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
PM 036,Essex Meats Brilanka,17-19 Bowlers Croft,,,Basildon,SS14 3DX,,,,,,,,,,,,,,Section: 0 (CS),,,Basildon ,England
BS 013,Hampshire Cheeses,Scratchface Lane,Herriard,,Basingstoke,RG25 2TX,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Basingstoke and Deane ,England
BS 017,Laverstoke Park Produce,Southley Farmhouse,Southley,,Basingstoke,RG25 3DR,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Basingstoke and Deane ,England
BS 018,Portland Farm Shop,Popham Lane,,North Waltham,Basingstoke,RG25 2TX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Basingstoke and Deane ,England
BS 019,The Nursery,Popham Court Lane,,Micheldever,Winchester,SO21 3BH,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Basingstoke and Deane ,England
BS 020,Arnolds Farm,London Road,Whitchurch,,Basingstoke,RG28 7NG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Basingstoke and Deane ,England
BW 006,Flying Fridge,Claylands Avenue,,,Worksop,S81 7BQ,,,,,,,,,,,,,,Section: 0 (CS),,,Bassetlaw District,England
BW 009,Today's Milk,Westwood Farm,Ollerton Road,,Tuxford,NG22 0PF,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bassetlaw District,England
BW 010,Farmhouse Choice,Units 4c and 4d Plumtree Industrial Estate,,Bawtry Road,Harworth,DN11 8EW,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Bassetlaw District,England
BW 011,Thaymar Ice Cream,Haughton Park Farm,West Drayton Avenue,,Bothamsall,DN22 8DB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bassetlaw District,England
BW 021,Westland's Meat,Retford Road,,,North Wheatley,DN22 9DY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Bassetlaw District,England
BW 023,Mike Maloney's Country Butchers and Bakers,Ashvale Rd,Tuxford,,Newark,NG22 0NH,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Bassetlaw District,England
BW 024,County Enterprise Foods,Dukeries Way,,,Worksop,S81 7DW,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Bassetlaw District,England
BW 025,Stichelton Dairy Ltd,Collingthwaite Farm Cottage,Cuckney,,Mansfield,NG20 9NP,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bassetlaw District,England
BW 026,Refrigerated Delivery Services Ltd T/A Flying Fridge,Claylands Avenue,,Worksop,Worksop,S81 7BQ,,,,,,,,,,,,,,Section: 0 (CS),,,Bassetlaw District,England
WY 001 ,John Braithwaite Foods Limited,Unit 24-25,Midsomer Enterprise Park,Midsomer Norton,Radstock,BA3 2BB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Bath and North East Somerset,England
WY 002,Bath Soft Cheese,Park Farm,Church Lane,Kelston,Bath,BA1 9AG,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bath and North East Somerset,England
WY 004,Sleight Farm,Hayeswood Road,Timsbury,,Bath,BA2 0HN,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bath and North East Somerset,England
WY 020,Café De Paris Ltd,Wellsway Inn,Harptree Hill,West Harptree,Bristol,BS40 6EJ,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Bath and North East Somerset,England
WY 021,Arthur David & Co Ltd,Hillside Farm,Wick Road,Bishop Sutton,Bristol,BS39 5XR,,,,,,,,,,,,,,Section: 0 (CS),,,Bath and North East Somerset,England
WY 022,Valley Smoke House,Elton Farm,Wells Road,Dundry,Bristol,BS41 8NQ,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Bath and North East Somerset,England
WY 023,L and F Jones Holdings Ltd,Charlton Lane,Radstock,Midsomer Norton,Radstock,BA3 4SB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Bath and North East Somerset,England
WY 024,Chew Moos Ice Cream Co,Graylands Farm,Upton Lane,Dundry,Bristol,BS41 8NR,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bath and North East Somerset,England
WY 025,Chew Valley Dairy ,Court Farm,The Street,Compton Martin,Bristol,BS40 6JF,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bath and North East Somerset,England
WY 026,Homewood (Cheeses) ,Unit 4,The Old Sawmill,Ubley,Bristol,BS40 6PE,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bath and North East Somerset,England
WY 028,Fresh-Range,Unit 4A ,Ashmead Industrial Estate,,Keynsham,BS31 1TU,,,,,,,,,,,,,,Section: 0 (CS),,,Bath and North East Somerset,England
AQ 005,Valerios Olympia Group Food Products Ltd,Olympia House,Manton Lane,,Bedford,MK41 7PB,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,Bedford Borough,England
AQ 011,Bird Brothers Ltd.,,,,Swineshead,,,,,,,,,LEP (Liquid Egg Plant),,,,,,Section: X (LEP),,,Bedford Borough,England
AQ 018,Chimera Meat Company Ltd,New Road,,,Great Barford,MK44 3LH,,,,,,,,,,,,,,Section: 0 (RW),,,Bedford Borough,England
AQ 019,Bevistan Dairy,Valley View Farmhouse,Turvey Road,Carlton,Bedford,MK43 7LH,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Bedford Borough,England
AQ 020,A Good Egg,Top Camp,The Baulk,,Clapham,MK41 6AA,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Bedford Borough,England
BX 002,Ferndale Foods Limited,Hailey Road Business Park,,,Erith,DA18 4AR,,,MP (Meat Preparation Establishment),PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VI (PP), Section: VIII (PP)",,,Bexley (London Borough),England
BX 011,The Sausage Factory,Capital Industrial Estate,Crabtree Manorway South,,Belvedere,DA17 6BJ,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Bexley (London Borough),England
BX 013,H & M Quality Meats,Darent Industrial Park,9 Landau Way,,Erith,DA8 2LF,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Bexley (London Borough),England
BX 015,Tasty African Restaurants Ltd t/a Tasty African Food,Unit 28,East Thamesmead Business Park,,Erith,DA18 4AB,,,,PP (Processing Plant),,PP (Processing Plant),,PP (Processing Plant),,,PP (Processing Plant),,,"Section: VI (PP), Section: VIII (PP), Section: X (PP), Section: XIII (PP)",,,Bexley (London Borough),England
BX 017,Tasty African Restaurants Ltd t/a Tasty African Food,Gilbert Road,,,Belvedere,DA17 5DA,,,,PP (Processing Plant),,PP (Processing Plant),,PP (Processing Plant),,,PP (Processing Plant),,,"Section: VI (PP), Section: VIII (PP), Section: X (PP), Section: XIII (PP)",,,Bexley (London Borough),England
BX 018,African Delight Foods,74 Portmeadow Walk,Abbeywood,,London,SE2 9UN,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Bexley (London Borough),England
BI 002 ,WS Scott & Co Ltd,Centre Block,Wholesale Markets Precinct,Pershore Stree,Birmingham,B5 6UL,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 004,Fish Co Midlands Ltd,2 Birch Road,Witton,,Birmingham,B6 7DD,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 010 ,Dick Crowdy Ltd,Unit 18,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 011 ,Salmon Incorporated Ltd,Unit 19,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 015 ,B A Westwood Wholesale Fish Merchants,Unit 24a,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 018 ,John Owen,Unit 25,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 020 ,J Vickerstaff & Co Ltd,Unit 27,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 029,Caterfish,Units 14-16,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 030,Tudor,Unit 21 Fish & Poultry Market,Wholesale Markets Precinct,Pershore Street,Birmingham,B5 6UB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 031,JB Foods Ltd,Priory Road,,,Birmingham,B6 7LG,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 032,Kamal & Sons,94 Grange Road,,,Birmingham,B10 9QS,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 033,Pakeeza Food Products Ltd  ,22 Blakeland Street ,,,Birmingham,B9 5XG,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VIII (PP), Section: VI (PP)",,,Birmingham City Council,England
BI 035,Kingfisher,Unit 34,Bickford Road,,Birmingham,B6 7EE,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 036,Sandwell Foods,Units 6-7,Century Park,Garrison Lane,Birmingham,B9 4NZ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 037,Sea Quality,14 Kingsbury Road,,,Birmingham,B24 8QQ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 055,OK Food Products,,,,Birmingham,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Birmingham City Council,England
BI 066,Maharani Food & Drinks Limited,109-111 Herbert Road,Small Heath,,Birmingham,B10 0PR,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Birmingham City Council,England
BI 068,Tofu King,Units 5 & 8,Armoury Road,Small Heath Trading Estate,Birmingham,B11 2RJ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Birmingham City Council,England
BI 100,Tasty Bake,135 Ludlow Road,,,Birmingham,B8 3BT,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 102 ,Molls Bacon Ltd,The Formans Trading Estate ,Pentos Drive,,Birmingham,B11 3TA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 106,Cleone Foods,50 Icknield Street,Hockley,,Birmingham,B18 5AY,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Birmingham City Council,England
BI 107 ,The Balti Company,1 Fulham Road,Sparkhill,,Birmingham,B11 4DD,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 112,Tasty Chicken Products,Unit 11,Vauxhall Trading Estate,Dollman Street,Birmingham,B7 4RA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 115,Golden Delight ,26 Clayton Road,Washwood Heath,,Birmingham,B8 1JE,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 119,World Foods Solutions Ltd,Birchell Street,,Digbeth,Birmingham,B12 0RP,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 120 ,Peak House Foods,Nechells Park Road,,,Birmingham,B7 5NQ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 122 ,Classic Cuisine (Midlands) Ltd,Unit 2,Angels Work,St Andrews Street,Birmingham,B9 4JT,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 124,Superior Foods,16 Brookvale Trasding Estate,Moor Lane,,Birmingham,B6 7AQ,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Birmingham City Council,England
BI 131,King Fry Meat Products ,Units 2 & 4,Sapcote Business Park,Small Heath ,Birmingham,B10 0HR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 134,A W Lashford & Sons Ltd,Unit 28 ,Castle Road,Kings Norton,Birmingham,B30 3HZ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 136,Sarah Hamilton Fine Foods,Fenky James,Unit 2 Park Trading Estate,Hockley,Birmingham,B18 5HB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 137,George Dobson & Co.,Unit 13,Birmingham City Market,Pershore Street,Birmingham,B5 6UN,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 141,Roshan Frozen Foods Ltd,56-60 Wharf Road,Tyseley,,Birmingham,B11 2EB,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Birmingham City Council,England
BI 142,Fakir Halal Donners,Unit 2,19-23 Green Lane,Small Heath,Birmingham,B9 5BU,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 145 ,Meal Direct,Unit 21 - 25 Meat Market,Wholesale Markets,Pershore Street,Birmingham,B5 6UA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 150,Birmingham Cold Store,Wholesale Market,,Pershore Street,Birmingham,B5 6UA,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 153,Birmingham Egg,"Units 1,2 & 3",Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 154,Allens Poultry,Units 4 & 5,Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 155,Belingham Poultry,Unit 6,Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 156,Blackwell Poultry,Unit 30,Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 157,Tom Carr,Unit 34-35,Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 158,Super Egg,Unit 32-33,Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 159,Wholesale Cold Store,,Poultry Maket,,Birmingham,B5 6UB,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 164,K Authentic Foods,238 Washwood Heath Road,,,Birmingham,B8 1RH,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 170,Khyber Doner Kebabs,Unit 4D,Doris Road,Bordesley Green,Birmingham,B9 4SJ,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 171,Keyani & Sons Ltd,Cobham Business Park,Cobham Road,,Birmingham,B9 4UP,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 173,MiMis,375 Tyburn Road,,,Birmingham,B24 8HD,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 174,Creating Taste Ltd,Unit 10,All Sainsts Industrial Estate,All Saints Road,Birmingham,B18 7RJ,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 177,MRT Bakery,Raleigh Industrial Estate,176 Camp Lane,Handsworth,Birmingham,B21 8JA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 180,Beijing Food Produce,Unit 25,Small Heath Industrial Estate,Armoury Road,Birmingham,B11 2RJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 183,Zak Kebab,Unit 8,Century Park,Garrison Lane,Birmingham,B9 4NZ,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 185,Tasty Pastry Trade Ltd,38 - 40 Great Western Industrial Estate,Great Western Close,,Birmingham,B18 4QF,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 186,Nazanaz,Unit 42,Camphill Industrial Estate,John Kempe Way,Birmingham,B12 0HU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 189,Evergrow Co Ltd,13b Pitsford Road,,,Birmingham,B18 6LJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 191,Seafood Holdings Limited t/a Kingfisher Midlands,Unit E,Austin Way,,Birmingham,B42 1DU,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 194,LZ Brothers Ltd (Han Dynasty Foods UK),Unit 14 Great Western Close,Great Western Industrial Estate,,Birmingham,B18 4QF,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Birmingham City Council,England
BI 195,Saffron International Catering Ltd t/a Eastern Spice,Eastern Spice,141 Fazeley Street,,Birmingham,B5 5RX,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 198,Factory Food Shops,Unit 22 East Block,Wholesale Market Precinct,Pershore Street,Birmingham,B5 6UN,,,,,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW)",,,Birmingham City Council,England
BI 199,Peter's Meat,Unit 1,Benson Road,Hockley,Birmingham,B18 5TD,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 201,Mirza & Sons,Unit 1,St Chads Industrial Estate,Brearly,Birmingham,B19 3NP,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 202,Ali Brothers Ltd,Unit 7,Oughton Road,Highgate,Birmingham,B12 0DF,,,,,,,,,,,,,,Section: 0 (CS),,,Birmingham City Council,England
BI 204,Global Seafoods,Drews Lane,,Washwood Heath,Birmingham,B8 2SL,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 205,S & T Wholesale (T/A Sami's Cash & Carry),89 Cecil Street,,,Birmingham,B19 3SU,,,,,,,,,,,,,,Section: 0 (RW),,,Birmingham City Council,England
BI 206,Flavour Foods Ltd t/a Zakos Kebabs,Unit 64b,Birch Road East Industrial Estate,Birch Road East,Birmingham,B6 7DB,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 207,AA World Foods (T/A Zaika Foods),Unit 11,Colebrook Road,,Birmingham,B11 2NT,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 208,Manor Farm Eggs,Manor House Farm,Bulls Lane,,Sutton Coldfield,B76 9QW ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Birmingham City Council,England
BI 210,Yeoemans Meat Products,Unit 1,Central Business Park,Mackadown Lane,Birmingham,B33 0JL,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 211,Soupera Foods Ltd,Unit 1,Great Western Close,,Birmingham,B18 4QG,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 212,Tradewind Food Processing UK Ltd ,109 Electric Avenue,,,Birmingham,B6 7EF,,,MP (Meat Preparation Establishment),,,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VIII (PP)",,,Birmingham City Council,England
BI 214,Owais Frozen Foods,Unit 25 Northside Business Centre,Wellington Street,,Birmingham,B18 4NR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,Birmingham City Council,England
BI 215,JJ Syrups/Shads,109 Electric Avenue,,,Birmingham,B6 7EF,,,MP (Meat Preparation Establishment),,,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VIII (PP)",,,Birmingham City Council,England
BI 218,A&Js Dripping,Unit C20,Hastingswood Industrial Estate,Wood Lane,Birmingham,B24 9QR,,,,,,,,,,PP (Processing Plant),,,,Section: XII (PP),,,Birmingham City Council,England
BI 220,Roosters Supplies Ltd,24 Little Ann Street,,,Birmingham,B5 5QF,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 221,Spices Direct Ltd,456 Bordersley Green,,,Birmingham,B9 5NS,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 222,Stun Free,183 Witton Road,Aston,,Birmingham,B6 6JR,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Birmingham City Council,England
BI 224,Ahmad Frozen Food,182 Tynedale Road,,,Birmingham,B113QU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
BI 225,Ghanim International UK Ltd,Unit 1 Pennine Way,,,Birmingham,B8 1JW,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Birmingham City Council,England
BI 226,KTI Frozen Foods Ltd,Units 17-19 Northside Business Centre,Wellington Street,,Birmingham,B18 4NR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Birmingham City Council,England
LR 003,Ukay Khoa Manufacturing Ltd,Unit E2,Whetstone Industrial Estate,Whiteacres,Leicester,LE8 6ZG,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Blaby District,England
LR 006,Saladworks - Samworth Brothers,Oak Spinney Park,Ratby Lane,,Leicester Forest East,LE3 3JZ,,,MP (Meat Preparation Establishment),PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VI (PP), Section: VIII (PP)",,,Blaby District,England
LR 189,Fossefield Farm,Broughton Road,Stoney Stanton,,Leicester,LE9 4JA,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Blaby District,England
BN 003,Pulford Farm Dairy,Belthorn Rd,,Guide,Blackburn,BB1 2NL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Blackburn with Darwen,England
BN 009,Higher Crowtrees Farm,Crow Trees Lane,,,Bolton,BL7 0LW,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Blackburn with Darwen,England
BN 011,Hampsons Farm,Cranberry Lane,,,Darwen,BB3 2HZ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Blackburn with Darwen,England
BN 017 ,Bedfords of Blackburn Ltd,Cunliffe Road,Whitebirk Industrial Estate,,Blackburn,BB1 5SU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Blackburn with Darwen,England
BN 024,Jasat Halal Pies,Unit 303-304,Glenfield Park,Philips Road,Blackburn,BB1 5PF,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Blackburn with Darwen,England
